que_id,que_q,que_a
220,在每次报考自学考试课程时，我是否可以同时选择两个考区进行报考,考生可根据各考区考位供给情况选择考区报考，每个考生每期考试只能报考一次，且只能选择一个考区参加考试。考区和报考课程一经考生确认，不得增加、删减、更改。
221,每次报考自学考试课程时，能选择两个考区同时报考吗,考生可根据各考区考位供给情况选择考区报考，每个考生每期考试只能报考一次，且只能选择一个考区参加考试。考区和报考课程一经考生确认，不得增加、删减、更改。
222,自学考试课程报考时，能选择两个考区同时报考吗,考生可根据各考区考位供给情况选择考区报考，每个考生每期考试只能报考一次，且只能选择一个考区参加考试。考区和报考课程一经考生确认，不得增加、删减、更改。
223,自学考试课程报考时，能选择两个考区吗,考生可根据各考区考位供给情况选择考区报考，每个考生每期考试只能报考一次，且只能选择一个考区参加考试。考区和报考课程一经考生确认，不得增加、删减、更改。
224,报考自学考试时，已经确认的课程还能修改吗？,报考自学考试，考生在确认报考信息前，须认真核对选择的考区和报考课程是否正确。考区和报考课程一经考生确认，不得增加、删减、更改，确认报考后所交报考费一旦网上缴纳，不予退还。
225,报考自学考试时，已经确认的课程是否能修改,报考自学考试，考生在确认报考信息前，须认真核对选择的考区和报考课程是否正确。考区和报考课程一经考生确认，不得增加、删减、更改，确认报考后所交报考费一旦网上缴纳，不予退还。
226,自学考试报考时，已经确认的课程还能修改吗,报考自学考试，考生在确认报考信息前，须认真核对选择的考区和报考课程是否正确。考区和报考课程一经考生确认，不得增加、删减、更改，确认报考后所交报考费一旦网上缴纳，不予退还。
227,报考时，考区和报考课程确认后还能修改吗,报考自学考试，考生在确认报考信息前，须认真核对选择的考区和报考课程是否正确。考区和报考课程一经考生确认，不得增加、删减、更改，确认报考后所交报考费一旦网上缴纳，不予退还。
228,报考时，考区和报考课程确认后还能更改吗,报考自学考试，考生在确认报考信息前，须认真核对选择的考区和报考课程是否正确。考区和报考课程一经考生确认，不得增加、删减、更改，确认报考后所交报考费一旦网上缴纳，不予退还。
229,自学考试报考时已经确认的课程能更改吗,报考自学考试，考生在确认报考信息前，须认真核对选择的考区和报考课程是否正确。考区和报考课程一经考生确认，不得增加、删减、更改，确认报考后所交报考费一旦网上缴纳，不予退还。
230,已经确认的课程是否能更改,报考自学考试，考生在确认报考信息前，须认真核对选择的考区和报考课程是否正确。考区和报考课程一经考生确认，不得增加、删减、更改，确认报考后所交报考费一旦网上缴纳，不予退还。
231,报考自学考试时，已保存但未确认的报考信息能够修改吗？,报考自学考试，考生在确认报考信息前，可以修改报考信息。
232,报考自学考试时，已保存但未确认的报考信息是否能修改,报考自学考试，考生在确认报考信息前，可以修改报考信息。
233,报考自学考试时，已保存但未确认的报考信息是否能更改,报考自学考试，考生在确认报考信息前，可以修改报考信息。
234,在报考自学考试时，如果报考信息已经保存但还未确认，我是否还可以进行修改？,报考自学考试，考生在确认报考信息前，可以修改报考信息。
235,报考自学考试时，我保存的报考信息尚未确认，是否允许我再次进行修改,报考自学考试，考生在确认报考信息前，可以修改报考信息。
236,如果我已经保存了报考信息但还没有确认，这些信息还能进行修改吗,报考自学考试，考生在确认报考信息前，可以修改报考信息。
237,报考信息已保存但未确认能修改吗,报考自学考试，考生在确认报考信息前，可以修改报考信息。
238,报考信息已保存但未确认能更改吗,报考自学考试，考生在确认报考信息前，可以修改报考信息。
239,如何确认自学考试报考缴费是否成功？,报考自学考试时，完成缴费后必须再次登录自学考试管理系统，检查交费状态是否为“已缴费”，以此确认是否报考成功，如遇问题应及时与各市自考办联系。
240,怎么确认自学考试报考缴费是否成功,报考自学考试时，完成缴费后必须再次登录自学考试管理系统，检查交费状态是否为“已缴费”，以此确认是否报考成功，如遇问题应及时与各市自考办联系。
241,自学考试报考缴费是否成功如何确认,报考自学考试时，完成缴费后必须再次登录自学考试管理系统，检查交费状态是否为“已缴费”，以此确认是否报考成功，如遇问题应及时与各市自考办联系。
242,自学考试报考缴费是否成功怎么确认,报考自学考试时，完成缴费后必须再次登录自学考试管理系统，检查交费状态是否为“已缴费”，以此确认是否报考成功，如遇问题应及时与各市自考办联系。
243,我如何确认自学考试报考缴费是否已经成功,报考自学考试时，完成缴费后必须再次登录自学考试管理系统，检查交费状态是否为“已缴费”，以此确认是否报考成功，如遇问题应及时与各市自考办联系。
244,自学考试报考缴费后，我该如何验证缴费是否成功,报考自学考试时，完成缴费后必须再次登录自学考试管理系统，检查交费状态是否为“已缴费”，以此确认是否报考成功，如遇问题应及时与各市自考办联系。
245,怎么知道自学考试报考缴费是否成功了,报考自学考试时，完成缴费后必须再次登录自学考试管理系统，检查交费状态是否为“已缴费”，以此确认是否报考成功，如遇问题应及时与各市自考办联系。
246,能否凭电子身份证参加考试？,不能凭电子身份证参加考试。所有考生均须凭网上自行打印的当次考试的准考证、本人有效身份证原件（含临时身份证、公安机关出具的用于参加国家教育考试的带照片的身份证明，不含电子身份证；军人、港澳和台湾同胞、海外侨胞及外籍人士可持考籍登记的对应证件）参加考试。
247,可以凭电子身份证参加考试吗,不能凭电子身份证参加考试。所有考生均须凭网上自行打印的当次考试的准考证、本人有效身份证原件（含临时身份证、公安机关出具的用于参加国家教育考试的带照片的身份证明，不含电子身份证；军人、港澳和台湾同胞、海外侨胞及外籍人士可持考籍登记的对应证件）参加考试。
248,能凭电子身份证参加考试吗,不能凭电子身份证参加考试。所有考生均须凭网上自行打印的当次考试的准考证、本人有效身份证原件（含临时身份证、公安机关出具的用于参加国家教育考试的带照片的身份证明，不含电子身份证；军人、港澳和台湾同胞、海外侨胞及外籍人士可持考籍登记的对应证件）参加考试。
249,可以用电子身份证参加考试吗,不能凭电子身份证参加考试。所有考生均须凭网上自行打印的当次考试的准考证、本人有效身份证原件（含临时身份证、公安机关出具的用于参加国家教育考试的带照片的身份证明，不含电子身份证；军人、港澳和台湾同胞、海外侨胞及外籍人士可持考籍登记的对应证件）参加考试。
250,考试时能用电子身份证吗,不能凭电子身份证参加考试。所有考生均须凭网上自行打印的当次考试的准考证、本人有效身份证原件（含临时身份证、公安机关出具的用于参加国家教育考试的带照片的身份证明，不含电子身份证；军人、港澳和台湾同胞、海外侨胞及外籍人士可持考籍登记的对应证件）参加考试。
251,参加考试时，我是否可以凭借电子身份证入场,不能凭电子身份证参加考试。所有考生均须凭网上自行打印的当次考试的准考证、本人有效身份证原件（含临时身份证、公安机关出具的用于参加国家教育考试的带照片的身份证明，不含电子身份证；军人、港澳和台湾同胞、海外侨胞及外籍人士可持考籍登记的对应证件）参加考试。
252,我能否使用电子身份证来参加考试,不能凭电子身份证参加考试。所有考生均须凭网上自行打印的当次考试的准考证、本人有效身份证原件（含临时身份证、公安机关出具的用于参加国家教育考试的带照片的身份证明，不含电子身份证；军人、港澳和台湾同胞、海外侨胞及外籍人士可持考籍登记的对应证件）参加考试。
253,考生参加自学考试时，需要提前多久到达考点？,一般情况下考生可在考试前1小时抵达考点，如因疫情防控需要再提前的，考生可根据考点所在地考办发布的信息提前达到，并按照考点要求有序等候进入考点。
254,参加自学考试时需要提前多久到达考点,一般情况下考生可在考试前1小时抵达考点，如因疫情防控需要再提前的，考生可根据考点所在地考办发布的信息提前达到，并按照考点要求有序等候进入考点。
255,自学考试要提前多久到达考点,一般情况下考生可在考试前1小时抵达考点，如因疫情防控需要再提前的，考生可根据考点所在地考办发布的信息提前达到，并按照考点要求有序等候进入考点。
256,对于参加自学考试的考生，需要提前多久抵达考点,一般情况下考生可在考试前1小时抵达考点，如因疫情防控需要再提前的，考生可根据考点所在地考办发布的信息提前达到，并按照考点要求有序等候进入考点。
257,考生参加自学考试，应提前多长时间到达考试地点,一般情况下考生可在考试前1小时抵达考点，如因疫情防控需要再提前的，考生可根据考点所在地考办发布的信息提前达到，并按照考点要求有序等候进入考点。
258,自学考试要提前多久到考场,一般情况下考生可在考试前1小时抵达考点，如因疫情防控需要再提前的，考生可根据考点所在地考办发布的信息提前达到，并按照考点要求有序等候进入考点。
259,自学考试需要提前多久到考场,一般情况下考生可在考试前1小时抵达考点，如因疫情防控需要再提前的，考生可根据考点所在地考办发布的信息提前达到，并按照考点要求有序等候进入考点。
260,参加自学考试时，多门课程在不同的考点，如何应考？,考生应在考试前提前熟悉、规划好应考路线，避免考试迟到。
261,自学考试多门课程在不同的考点如何应考,考生应在考试前提前熟悉、规划好应考路线，避免考试迟到。
262,自学考试多门课程在不同的考点怎么应考,考生应在考试前提前熟悉、规划好应考路线，避免考试迟到。
263,参加自学考试时，如果多门课程在不同的考点，该怎么办,考生应在考试前提前熟悉、规划好应考路线，避免考试迟到。
264,在自学考试时，我报考的多门课程被安排在了不同的考点，我该如何有效应对,考生应在考试前提前熟悉、规划好应考路线，避免考试迟到。
265,在自学考试中，如果我报考的多门课程被安排在了不同的考点，我应该如何准备和参加考试,考生应在考试前提前熟悉、规划好应考路线，避免考试迟到。
266,多门课程在不同的考点该怎么应对考试,考生应在考试前提前熟悉、规划好应考路线，避免考试迟到。
267,考试时，最早可以在什么时候交卷？,根据考场规则，不得早于当科考试结束前30分钟交卷出场，考试结束前30分钟内可以交卷。
268,最早什么时候交卷,根据考场规则，不得早于当科考试结束前30分钟交卷出场，考试结束前30分钟内可以交卷。
269,可以提前多久交卷,根据考场规则，不得早于当科考试结束前30分钟交卷出场，考试结束前30分钟内可以交卷。
270,自学考试可以提前多久交卷,根据考场规则，不得早于当科考试结束前30分钟交卷出场，考试结束前30分钟内可以交卷。
271,自学考试最早能提前多久交卷,根据考场规则，不得早于当科考试结束前30分钟交卷出场，考试结束前30分钟内可以交卷。
272,自学考试提前交卷时间,根据考场规则，不得早于当科考试结束前30分钟交卷出场，考试结束前30分钟内可以交卷。
273,自学考试提前交卷时间是什么时候,根据考场规则，不得早于当科考试结束前30分钟交卷出场，考试结束前30分钟内可以交卷。
274,自学考试迟到多久不能参加考试？,开考15分钟后，不得进入考点参加当次科目考试。
275,自学考试开考多久不能参加考试,开考15分钟后，不得进入考点参加当次科目考试。
276,迟到多久不能参加考试,开考15分钟后，不得进入考点参加当次科目考试。
277,开考多久不能参加考试,开考15分钟后，不得进入考点参加当次科目考试。
278,在自学考试中，如果迟到的话，多长时间后将无法参加考试,开考15分钟后，不得进入考点参加当次科目考试。
279,在参加自学考试时，迟到超过多长时间就会被禁止进入考场,开考15分钟后，不得进入考点参加当次科目考试。
280,自学考试开考多久后禁止进入考场,开考15分钟后，不得进入考点参加当次科目考试。
281,参加自学考试能否携带智能手表？,智能手表不得带入考场。
282,考试时能携带智能手表吗,智能手表不得带入考场。
283,考试时是否能携带智能手表,智能手表不得带入考场。
284,自学考试能携带智能手表进入考场吗,智能手表不得带入考场。
285,可以携带智能手表参加考试吗,智能手表不得带入考场。
286,参加考试时能带智能手表吗,智能手表不得带入考场。
287,智能手表能带入考场吗,智能手表不得带入考场。
288,可以携带智能手表参加自学考试吗,智能手表不得带入考场。
289,自学考试能否自己携带草稿纸？,参加我省自学考试，不得自行携带草稿纸。
290,考试时可以自己带草稿纸吗,参加我省自学考试，不得自行携带草稿纸。
291,考试时是否能自己带草稿纸,参加我省自学考试，不得自行携带草稿纸。
292,自学考试能自行携带草稿纸吗,参加我省自学考试，不得自行携带草稿纸。
293,自学考试可以自己带草稿纸吗,参加我省自学考试，不得自行携带草稿纸。
294,自学考试是否能自己携带草稿纸,参加我省自学考试，不得自行携带草稿纸。
295,可以自己携带草稿纸参加自学考试吗,参加我省自学考试，不得自行携带草稿纸。
296,自学考试哪些课程不能使用计算器？,考生在参加高等教育自学考试《高等数学（一）》等17门课程考试时，不能使用任何型号的计算器；其余有计算要求的课程，允许使用简单的、没有程序存储功能的计算器。考生可以通过广东省教育考试院官网查阅《关于高等教育自学考试使用计算器问题的通知》了解详细规定。
297,哪些课程考试时不能使用计算器,考生在参加高等教育自学考试《高等数学（一）》等17门课程考试时，不能使用任何型号的计算器；其余有计算要求的课程，允许使用简单的、没有程序存储功能的计算器。考生可以通过广东省教育考试院官网查阅《关于高等教育自学考试使用计算器问题的通知》了解详细规定。
298,考试时不能使用计算器的课程有哪些,考生在参加高等教育自学考试《高等数学（一）》等17门课程考试时，不能使用任何型号的计算器；其余有计算要求的课程，允许使用简单的、没有程序存储功能的计算器。考生可以通过广东省教育考试院官网查阅《关于高等教育自学考试使用计算器问题的通知》了解详细规定。
299,自学考试时，哪些课程不允许使用计算器,考生在参加高等教育自学考试《高等数学（一）》等17门课程考试时，不能使用任何型号的计算器；其余有计算要求的课程，允许使用简单的、没有程序存储功能的计算器。考生可以通过广东省教育考试院官网查阅《关于高等教育自学考试使用计算器问题的通知》了解详细规定。
300,对于自学考试，有哪些课程明确禁止使用计算器,考生在参加高等教育自学考试《高等数学（一）》等17门课程考试时，不能使用任何型号的计算器；其余有计算要求的课程，允许使用简单的、没有程序存储功能的计算器。考生可以通过广东省教育考试院官网查阅《关于高等教育自学考试使用计算器问题的通知》了解详细规定。
301,在自学考试中，哪些课程规定不得使用计算器进行计算,考生在参加高等教育自学考试《高等数学（一）》等17门课程考试时，不能使用任何型号的计算器；其余有计算要求的课程，允许使用简单的、没有程序存储功能的计算器。考生可以通过广东省教育考试院官网查阅《关于高等教育自学考试使用计算器问题的通知》了解详细规定。
302,自学考试中规定不能使用计算器的课程有哪些,考生在参加高等教育自学考试《高等数学（一）》等17门课程考试时，不能使用任何型号的计算器；其余有计算要求的课程，允许使用简单的、没有程序存储功能的计算器。考生可以通过广东省教育考试院官网查阅《关于高等教育自学考试使用计算器问题的通知》了解详细规定。
303,如何查询自学考试诚信报考档案？,考生本人可登录广东省自学考试管理系统查询本人历次考试的诚信报考档案。
304,怎么查询自学考试诚信报考档案,考生本人可登录广东省自学考试管理系统查询本人历次考试的诚信报考档案。
305,自学考试诚信报考档案怎么查询,考生本人可登录广东省自学考试管理系统查询本人历次考试的诚信报考档案。
306,自学考试诚信报考档案如何查询,考生本人可登录广东省自学考试管理系统查询本人历次考试的诚信报考档案。
307,自学考试诚信报考档案在哪查询,考生本人可登录广东省自学考试管理系统查询本人历次考试的诚信报考档案。
308,诚信报考档案怎么查询,考生本人可登录广东省自学考试管理系统查询本人历次考试的诚信报考档案。
309,诚信报考档案如何查询,考生本人可登录广东省自学考试管理系统查询本人历次考试的诚信报考档案。
310,诚信报考档案在哪查询,考生本人可登录广东省自学考试管理系统查询本人历次考试的诚信报考档案。
311,如何申请诚信报考档案修复？,考生如因自然灾害、疫情防控、突发疾病、意外事故或其他不可抗力，以及参加其他类型国家考试、单位工作学习安排等，不能参加当次自学考试的，可在考试结束后10天内向当次考试所在市考办提交相关佐证材料，说明理由，提出诚信报考档案修复申请。
312,怎么申请诚信报考档案修复,考生如因自然灾害、疫情防控、突发疾病、意外事故或其他不可抗力，以及参加其他类型国家考试、单位工作学习安排等，不能参加当次自学考试的，可在考试结束后10天内向当次考试所在市考办提交相关佐证材料，说明理由，提出诚信报考档案修复申请。
313,诚信报考档案修复怎么申请,考生如因自然灾害、疫情防控、突发疾病、意外事故或其他不可抗力，以及参加其他类型国家考试、单位工作学习安排等，不能参加当次自学考试的，可在考试结束后10天内向当次考试所在市考办提交相关佐证材料，说明理由，提出诚信报考档案修复申请。
314,诚信报考档案修复如何申请,考生如因自然灾害、疫情防控、突发疾病、意外事故或其他不可抗力，以及参加其他类型国家考试、单位工作学习安排等，不能参加当次自学考试的，可在考试结束后10天内向当次考试所在市考办提交相关佐证材料，说明理由，提出诚信报考档案修复申请。
315,申请诚信报考档案修复,考生如因自然灾害、疫情防控、突发疾病、意外事故或其他不可抗力，以及参加其他类型国家考试、单位工作学习安排等，不能参加当次自学考试的，可在考试结束后10天内向当次考试所在市考办提交相关佐证材料，说明理由，提出诚信报考档案修复申请。
316,诚信报考档案修复申请,考生如因自然灾害、疫情防控、突发疾病、意外事故或其他不可抗力，以及参加其他类型国家考试、单位工作学习安排等，不能参加当次自学考试的，可在考试结束后10天内向当次考试所在市考办提交相关佐证材料，说明理由，提出诚信报考档案修复申请。
317,对于诚信报考档案的修复，我应该如何进行申请,考生如因自然灾害、疫情防控、突发疾病、意外事故或其他不可抗力，以及参加其他类型国家考试、单位工作学习安排等，不能参加当次自学考试的，可在考试结束后10天内向当次考试所在市考办提交相关佐证材料，说明理由，提出诚信报考档案修复申请。
318,怎样进行申请诚信报考档案修复,考生如因自然灾害、疫情防控、突发疾病、意外事故或其他不可抗力，以及参加其他类型国家考试、单位工作学习安排等，不能参加当次自学考试的，可在考试结束后10天内向当次考试所在市考办提交相关佐证材料，说明理由，提出诚信报考档案修复申请。
319,能否携带涂改液、修正带参加自学考试？,涂改液、修正带等与考试无关的物品不得带入考场。
320,可以携带涂改液、修正带参加自学考试吗,涂改液、修正带等与考试无关的物品不得带入考场。
321,考试时能携带涂改液、修正带吗,涂改液、修正带等与考试无关的物品不得带入考场。
322,考试时是否能携带涂改液、修正带,涂改液、修正带等与考试无关的物品不得带入考场。
323,自学考试能携带涂改液、修正带进入考场吗,涂改液、修正带等与考试无关的物品不得带入考场。
324,可以携带涂改液、修正带参加考试吗,涂改液、修正带等与考试无关的物品不得带入考场。
325,参加考试时能带涂改液、修正带吗,涂改液、修正带等与考试无关的物品不得带入考场。
326,涂改液、修正带能带入考场吗,涂改液、修正带等与考试无关的物品不得带入考场。
327,参加自学考试，应注意哪些着装问题？,考生参加自学考试时，不得穿背心、拖鞋以及部队、警察、执法等类型的制服进入考点和考场。
328,自学考试应注意哪些着装问题,考生参加自学考试时，不得穿背心、拖鞋以及部队、警察、执法等类型的制服进入考点和考场。
329,自学考试着装问题,考生参加自学考试时，不得穿背心、拖鞋以及部队、警察、执法等类型的制服进入考点和考场。
330,自学考试着装要求,考生参加自学考试时，不得穿背心、拖鞋以及部队、警察、执法等类型的制服进入考点和考场。
331,参加自学考试时有着装要求吗,考生参加自学考试时，不得穿背心、拖鞋以及部队、警察、执法等类型的制服进入考点和考场。
332,参加自学考试时有哪些着装问题要注意,考生参加自学考试时，不得穿背心、拖鞋以及部队、警察、执法等类型的制服进入考点和考场。
333,自学考试着装要求是什么,考生参加自学考试时，不得穿背心、拖鞋以及部队、警察、执法等类型的制服进入考点和考场。
334,违规处理文书将如何送达？,考试违规处理事先告知书和违规处理决定书将按照当次报考时考生确认的联系手机和通信地址邮寄。
335,违规处理文书怎么送达,考试违规处理事先告知书和违规处理决定书将按照当次报考时考生确认的联系手机和通信地址邮寄。
336,怎么送达违规处理文书,考试违规处理事先告知书和违规处理决定书将按照当次报考时考生确认的联系手机和通信地址邮寄。
337,如何送达违规处理文书,考试违规处理事先告知书和违规处理决定书将按照当次报考时考生确认的联系手机和通信地址邮寄。
338,违规处理文书怎么邮寄,考试违规处理事先告知书和违规处理决定书将按照当次报考时考生确认的联系手机和通信地址邮寄。
339,如何邮寄违规处理文书,考试违规处理事先告知书和违规处理决定书将按照当次报考时考生确认的联系手机和通信地址邮寄。
340,违规处理文书邮寄,考试违规处理事先告知书和违规处理决定书将按照当次报考时考生确认的联系手机和通信地址邮寄。
341,考生可否同时报考两个或多个自学考试专业？,考生可以同时报考两个或多个自学考试专业。自学考试实行学分累计制，考生可按照自身需求报考适合的专业、课程。申请毕业时，必须符合广东省自学考试委员会公布的专业考试计划等相关毕业条件，并按规定办理手续。
342,考生能同时报考两个或多个自学考试专业吗,考生可以同时报考两个或多个自学考试专业。自学考试实行学分累计制，考生可按照自身需求报考适合的专业、课程。申请毕业时，必须符合广东省自学考试委员会公布的专业考试计划等相关毕业条件，并按规定办理手续。
343,能同时报考两个或多个自学考试的专业吗,考生可以同时报考两个或多个自学考试专业。自学考试实行学分累计制，考生可按照自身需求报考适合的专业、课程。申请毕业时，必须符合广东省自学考试委员会公布的专业考试计划等相关毕业条件，并按规定办理手续。
344,是否能同时报考两个或多个自学考试的专业,考生可以同时报考两个或多个自学考试专业。自学考试实行学分累计制，考生可按照自身需求报考适合的专业、课程。申请毕业时，必须符合广东省自学考试委员会公布的专业考试计划等相关毕业条件，并按规定办理手续。
345,考生能否同时选择并报考两个或以上的自学考试专业,考生可以同时报考两个或多个自学考试专业。自学考试实行学分累计制，考生可按照自身需求报考适合的专业、课程。申请毕业时，必须符合广东省自学考试委员会公布的专业考试计划等相关毕业条件，并按规定办理手续。
346,在自学考试中，考生是否可以同时报考多个不同的专业,考生可以同时报考两个或多个自学考试专业。自学考试实行学分累计制，考生可按照自身需求报考适合的专业、课程。申请毕业时，必须符合广东省自学考试委员会公布的专业考试计划等相关毕业条件，并按规定办理手续。
347,是否可以同时报考两个或更多的自学考试专业,考生可以同时报考两个或多个自学考试专业。自学考试实行学分累计制，考生可按照自身需求报考适合的专业、课程。申请毕业时，必须符合广东省自学考试委员会公布的专业考试计划等相关毕业条件，并按规定办理手续。
348,某专业已经停考，但该专业部分课程在其他专业仍开考，考生能否报考？,考生必须按照相关停考专业的文件规定执行，只要在规定的停办毕业截止时间前取得该专业考试计划规定的全部课程合格成绩，可按规定申请办理毕业手续。
349,某专业已经停考，但该专业部分课程在其他专业仍开考，考生能报考吗,考生必须按照相关停考专业的文件规定执行，只要在规定的停办毕业截止时间前取得该专业考试计划规定的全部课程合格成绩，可按规定申请办理毕业手续。
350,对于已经停考的专业，如果其中部分课程在其他专业中仍然开考，考生能否选择报考这些课程,考生必须按照相关停考专业的文件规定执行，只要在规定的停办毕业截止时间前取得该专业考试计划规定的全部课程合格成绩，可按规定申请办理毕业手续。
351,如果某个专业已经停考了，但是该专业的部分课程在其他专业中仍然开考，考生是否还能报考这些课程,考生必须按照相关停考专业的文件规定执行，只要在规定的停办毕业截止时间前取得该专业考试计划规定的全部课程合格成绩，可按规定申请办理毕业手续。
352,考生能否报考那些已经停考的专业中的部分课程，如果这些课程在其他专业中仍继续开考,考生必须按照相关停考专业的文件规定执行，只要在规定的停办毕业截止时间前取得该专业考试计划规定的全部课程合格成绩，可按规定申请办理毕业手续。
353,已经停考的专业部分课程在其他专业仍然开考，能报考吗,考生必须按照相关停考专业的文件规定执行，只要在规定的停办毕业截止时间前取得该专业考试计划规定的全部课程合格成绩，可按规定申请办理毕业手续。
354,已经停考的专业部分课程在其他专业仍然开考，可以报考吗,考生必须按照相关停考专业的文件规定执行，只要在规定的停办毕业截止时间前取得该专业考试计划规定的全部课程合格成绩，可按规定申请办理毕业手续。
355,自学考试如何选报合适的专业？,考生可根据广东省自考办公布的开考专业、课程等情况，结合自身的工作、兴趣、文化层次、学习能力，选择专业报考。一般来说，无高等教育学历的考生应先报考专科专业，具有专科或专科以上层次学历证书的考生，可直接报考专升本专业。
356,自学考试怎么选报合适的专业,考生可根据广东省自考办公布的开考专业、课程等情况，结合自身的工作、兴趣、文化层次、学习能力，选择专业报考。一般来说，无高等教育学历的考生应先报考专科专业，具有专科或专科以上层次学历证书的考生，可直接报考专升本专业。
357,对于自学考试，我应该如何选报一个合适的专业,考生可根据广东省自考办公布的开考专业、课程等情况，结合自身的工作、兴趣、文化层次、学习能力，选择专业报考。一般来说，无高等教育学历的考生应先报考专科专业，具有专科或专科以上层次学历证书的考生，可直接报考专升本专业。
358,如何选择合适的自学考试专业进行报考,考生可根据广东省自考办公布的开考专业、课程等情况，结合自身的工作、兴趣、文化层次、学习能力，选择专业报考。一般来说，无高等教育学历的考生应先报考专科专业，具有专科或专科以上层次学历证书的考生，可直接报考专升本专业。
359,自学考试时，我该如何选报适合自己的专业,考生可根据广东省自考办公布的开考专业、课程等情况，结合自身的工作、兴趣、文化层次、学习能力，选择专业报考。一般来说，无高等教育学历的考生应先报考专科专业，具有专科或专科以上层次学历证书的考生，可直接报考专升本专业。
360,自学考试合适的专业如何选报,考生可根据广东省自考办公布的开考专业、课程等情况，结合自身的工作、兴趣、文化层次、学习能力，选择专业报考。一般来说，无高等教育学历的考生应先报考专科专业，具有专科或专科以上层次学历证书的考生，可直接报考专升本专业。
361,自学考试合适的专业怎么选报,考生可根据广东省自考办公布的开考专业、课程等情况，结合自身的工作、兴趣、文化层次、学习能力，选择专业报考。一般来说，无高等教育学历的考生应先报考专科专业，具有专科或专科以上层次学历证书的考生，可直接报考专升本专业。
362,自学考试是否可以转考其他专业？有什么限制？,自学考试实行学分累计制，考生报名时可按照自身需求选择适合专业，如需跨专业报考不需要再次进行报名，只需选择另一专业的课程继续报考参加考试，考试成绩合格的课程学分计入个人考籍档案。
363,自学考试可以转考其他专业吗,自学考试实行学分累计制，考生报名时可按照自身需求选择适合专业，如需跨专业报考不需要再次进行报名，只需选择另一专业的课程继续报考参加考试，考试成绩合格的课程学分计入个人考籍档案。
364,自学考试是否可以转考其他专业,自学考试实行学分累计制，考生报名时可按照自身需求选择适合专业，如需跨专业报考不需要再次进行报名，只需选择另一专业的课程继续报考参加考试，考试成绩合格的课程学分计入个人考籍档案。
365,自学考试能转考其他专业吗？有什么限制,自学考试实行学分累计制，考生报名时可按照自身需求选择适合专业，如需跨专业报考不需要再次进行报名，只需选择另一专业的课程继续报考参加考试，考试成绩合格的课程学分计入个人考籍档案。
366,自学考试能转考其他专业吗？有哪些限制,自学考试实行学分累计制，考生报名时可按照自身需求选择适合专业，如需跨专业报考不需要再次进行报名，只需选择另一专业的课程继续报考参加考试，考试成绩合格的课程学分计入个人考籍档案。
367,自学考试转考其他专业有限制吗,自学考试实行学分累计制，考生报名时可按照自身需求选择适合专业，如需跨专业报考不需要再次进行报名，只需选择另一专业的课程继续报考参加考试，考试成绩合格的课程学分计入个人考籍档案。
368,自学考试转考其他专业有哪些限制,自学考试实行学分累计制，考生报名时可按照自身需求选择适合专业，如需跨专业报考不需要再次进行报名，只需选择另一专业的课程继续报考参加考试，考试成绩合格的课程学分计入个人考籍档案。
369,了解广东省自学考试的官方渠道有哪些？,广东省自学考试管理系统、广东省教育考试院官网、广东省教育考试院微信公众号以及各地级市招生考试的官方网站，主考学校（继续教育）官网。
370,如何了解广东省自学考试的官方渠道,广东省自学考试管理系统、广东省教育考试院官网、广东省教育考试院微信公众号以及各地级市招生考试的官方网站，主考学校（继续教育）官网。
371,怎么了解广东省自学考试的官方渠道,广东省自学考试管理系统、广东省教育考试院官网、广东省教育考试院微信公众号以及各地级市招生考试的官方网站，主考学校（继续教育）官网。
372,了解广东省自学考试的官方渠道,广东省自学考试管理系统、广东省教育考试院官网、广东省教育考试院微信公众号以及各地级市招生考试的官方网站，主考学校（继续教育）官网。
373,有哪些官方渠道可以让我了解广东省自学考试的最新信息,广东省自学考试管理系统、广东省教育考试院官网、广东省教育考试院微信公众号以及各地级市招生考试的官方网站，主考学校（继续教育）官网。
374,如何通过官方渠道获取广东省自学考试的相关信息,广东省自学考试管理系统、广东省教育考试院官网、广东省教育考试院微信公众号以及各地级市招生考试的官方网站，主考学校（继续教育）官网。
375,广东省自学考试的官方渠道有哪些,广东省自学考试管理系统、广东省教育考试院官网、广东省教育考试院微信公众号以及各地级市招生考试的官方网站，主考学校（继续教育）官网。
376,凭前置学历申请免考自学考试课程有什么规定？,国家承认学历的各类高等学校及自学考试专科以上（含专科）的毕业生（及肄业生、退学生）报考自学考试，根据有关规定，可申请免考已学过并考试成绩合格的有关课程。本科结业可视同专科学历，可使用结业的合格成绩办理专科层次课程的免考。
377,凭前置学历申请免考自学考试课程有哪些规定,国家承认学历的各类高等学校及自学考试专科以上（含专科）的毕业生（及肄业生、退学生）报考自学考试，根据有关规定，可申请免考已学过并考试成绩合格的有关课程。本科结业可视同专科学历，可使用结业的合格成绩办理专科层次课程的免考。
378,凭前置学历申请免考自学考试课程的规定,国家承认学历的各类高等学校及自学考试专科以上（含专科）的毕业生（及肄业生、退学生）报考自学考试，根据有关规定，可申请免考已学过并考试成绩合格的有关课程。本科结业可视同专科学历，可使用结业的合格成绩办理专科层次课程的免考。
